"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"1","Afghanistan","AFG",54.3333333333333,54.3333333333333,55.5454545454545,0,-1.2121212121212,7.23598435462842,8.23272090988628,6.99159254295114
"2","Angola","AGO",74.3333333333333,74.3333333333333,74.3333333333333,0,0,10,9.9825021872266,10
"3","Albania","ALB",39.6666666666667,39.6666666666667,44.8181818181818,0,-5.15151515151515,4.36766623207301,2.54593175853019,4.83489703911295
"4","United Arab Emirates","ARE",29.3333333333333,29.3333333333333,35.1818181818182,0,-5.84848484848485,2.34680573663625,1.53980752405949,2.89752650176678
"5","Argentina","ARG",71.3333333333333,73,73.2121212121212,-1.66666666666667,-1.87878787878789,10,7.27034120734907,10
"6","Armenia","ARM",40.3333333333333,40.3333333333333,42.7575757575758,0,-2.42424242424242,4.4980443285528,6.48293963254593,4.42061654685025
"7","Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA,NA
"8","Australia","AUS",17.3333333333333,19,20.2121212121212,-1.66666666666667,-2.87878787878788,0,5.82677165354331,0
"9","Austria","AUT",20,21.3333333333333,23.8181818181818,-1.33333333333333,-3.81818181818182,0.521512385919166,4.47069116360454,0.61289143414159
"10","Azerbaijan","AZE",46,59.3333333333333,56.9090909090909,-13.3333333333333,-10.9090909090909,5.60625814863103,0,7.26574875106616
"11","Burundi","BDI",66.3333333333333,69.6666666666667,71.2727272727273,-3.33333333333334,-4.93939393939394,9.58279009126467,2.85214348206474,10
"12","Belgium","BEL",32,32,32,0,0,2.86831812255541,9.9825021872266,2.25782868283173
"13","Benin","BEN",44.6666666666667,44.6666666666667,48.6060606060606,0,-3.93939393939394,5.34550195567145,4.29571303587052,5.59644206165468
"14","Burkina Faso","BFA",34,34,37.2424242424242,0,-3.24242424242424,3.25945241199479,5.30183727034121,3.31180699402949
"15","Bangladesh","BGD",39.6666666666667,39.6666666666667,40.1212121212121,0,-0.454545454545453,4.36766623207301,9.32633420822398,3.8905812111612
"16","Bulgaria","BGR",30,30,32.9090909090909,0,-2.90909090909091,2.47718383311604,5.78302712160979,2.44059948824175
"17","Bahrain","BHR",47.3333333333333,49.6666666666667,49.5454545454545,-2.33333333333333,-2.2121212121212,5.86701434159061,6.7891513560805,5.78530522724503
"18","Bahamas","BHS",39.6666666666667,39.6666666666667,42.6969696969697,0,-3.03030303030303,4.36766623207301,5.60804899387576,4.40843182648958
"19","Bosnia and Herzegovina","BIH",44.3333333333333,44.3333333333333,43.4848484848485,0,0.848484848484844,5.28031290743155,10,4.56683319117826
"20","Belarus","BLR",63,63.3333333333333,63.030303030303,-0.333333333333336,-0.0303030303030312,8.93089960886571,9.93875765529309,8.4964055074936
"21","Belize","BLZ",47.3333333333333,47.3333333333333,50.0606060606061,0,-2.72727272727273,5.86701434159061,6.04549431321085,5.88887535031071
"22","Bolivia","BOL",50,50,53.6363636363636,0,-3.63636363636363,6.38852672750978,4.7331583552056,6.6077738515901
"23","Brazil","BRA",44.6666666666667,48,47.6969696969697,-3.33333333333334,-3.03030303030303,5.34550195567145,5.60804899387576,5.41367125624467
"24","Barbados","BRB",36,49.3333333333333,49.3333333333333,-13.3333333333333,-13.3333333333333,3.65058670143416,0,5.7426587059827
"25","Brunei Darussalam","BRN",20.6666666666667,20.6666666666667,24.1212121212121,0,-3.45454545454545,0.65189048239896,4.99562554680665,0.673815035944926
"26","Bhutan","BTN",35.3333333333333,37,36,-1.66666666666666,-0.666666666666664,3.52020860495437,9.02012248468942,3.0620202266358
"27","Botswana","BWA",28,24.6666666666667,28.7878787878788,3.33333333333333,-0.787878787878785,2.08604954367666,8.84514435695539,1.61203850371634
"28","Central African Republic","CAF",52,52,51.5454545454545,0,0.45454545454546,6.77966101694915,10,6.18740099914707
"29","Canada","CAN",18.3333333333333,23.3333333333333,24.3939393939394,-5,-6.06060606060606,0.195567144719687,1.23359580052493,0.728646277567931
"30","Switzerland","CHE",9.66666666666667,9.66666666666667,13.9090909090909,0,-4.24242424242424,0,3.85826771653543,0
"31","Chile","CHL",16.3333333333333,18,18.9090909090909,-1.66666666666667,-2.57575757575758,0,6.26421697287839,0
"32","China","CHN",25.3333333333333,29.6666666666667,33.4545454545455,-4.33333333333334,-8.12121212121213,1.5645371577575,0,2.55026197148776
"33","C̫te d'Ivoire","CIV",36,36,36,0,0,3.65058670143416,9.9825021872266,3.0620202266358
"34","Cameroon","CMR",50.3333333333333,49,50.6060606060606,1.33333333333334,-0.272727272727266,6.45371577574968,9.58880139982503,5.99853783355672
"35","Congo DR","COD",70,71.6666666666667,71.8181818181818,-1.66666666666667,-1.81818181818181,10,7.35783027121611,10
"36","Congo","COG",60,60,60.2727272727273,0,-0.272727272727273,8.34419817470665,9.58880139982502,7.94200073108322
"37","Colombia","COL",36.6666666666667,36.6666666666667,39.6666666666667,0,-3,3.78096479791395,5.65179352580927,3.7991958084562
"38","Comoros","COM",NA,NA,NA,NA,NA,NA,NA,NA
"39","Cabo Verde","CPV",43,43,43.9090909090909,0,-0.909090909090907,5.01955671447197,8.67016622922135,4.65212623370294
"40","Costa Rica","CRI",32,32,34.1212121212121,0,-2.12121212121212,2.86831812255541,6.92038495188101,2.6842938954551
"41","Cuba","CUB",79,79,76.0606060606061,0,2.93939393939394,10,10,10
"42","Cyprus","CYP",30,33,40.1515151515151,-3,-10.1515151515151,2.47718383311604,0,3.89667357134154
"43","Czech Republic","CZE",26,26,32.0909090909091,0,-6.09090909090909,1.69491525423729,1.18985126859143,2.27610576337273
"44","Germany","DEU",11.3333333333333,11.3333333333333,17.3030303030303,0,-5.96969696969697,0,1.36482939632546,0
"45","Djibouti","DJI",47.3333333333333,47.3333333333333,48.8787878787879,0,-1.54545454545454,5.86701434159061,7.75153105861768,5.65127330327769
"46","Dominica","DMA",NA,NA,NA,NA,NA,NA,NA,NA
"47","Denmark","DNK",16.6666666666667,20,20.6060606060606,-3.33333333333333,-3.93939393939394,0,4.29571303587052,0
"48","Dominican Republic","DOM",43.3333333333333,48.3333333333333,48.4848484848485,-5,-5.15151515151514,5.08474576271187,2.5459317585302,5.57207262093335
"49","Algeria","DZA",57.6666666666667,57.6666666666667,58,0,-0.333333333333336,7.88787483702738,9.501312335958,7.48507371755818
"50","Ecuador","ECU",45.3333333333333,50.6666666666667,49.969696969697,-5.33333333333333,-4.63636363636363,5.47588005215124,3.28958880139983,5.87059826976971
"51","Egypt","EGY",50.6666666666667,52,52.7878787878788,-1.33333333333334,-2.12121212121212,6.51890482398957,6.92038495188101,6.43718776654076
"52","Eritrea","ERI",65.6666666666667,64,66.1212121212121,1.66666666666667,-0.454545454545453,9.45241199478488,9.32633420822398,9.11782624588766
"53","Spain","ESP",25.3333333333333,27,35.6969696969697,-1.66666666666667,-10.3636363636364,1.5645371577575,0,3.00109662483246
"54","Estonia","EST",23.3333333333333,26.6666666666667,27.4848484848485,-3.33333333333334,-4.15151515151515,1.17340286831812,3.98950131233596,1.35006701596198
"55","Ethiopia","ETH",69.6666666666667,68,69.969696969697,1.66666666666667,-0.303030303030297,10,9.54505686789152,9.89155598879006
"56","Finland","FIN",18,24.6666666666667,24.6666666666667,-6.66666666666667,-6.66666666666667,0.130378096479792,0.358705161854763,0.783477519190935
"57","Fiji","FJI",NA,NA,NA,NA,NA,NA,NA,NA
"58","France","FRA",17.3333333333333,17.3333333333333,19.969696969697,0,-2.63636363636364,0,6.17672790901137,0
"59","Micronesia","FSM",NA,NA,NA,NA,NA,NA,NA,NA
"60","Gabon","GAB",47.3333333333333,48.6666666666667,51.9090909090909,-1.33333333333333,-4.57575757575757,5.86701434159061,3.37707786526685,6.26050932131108
"61","United Kingdom","GBR",19.6666666666667,22.6666666666667,29.3333333333333,-3,-9.66666666666666,0.456323337679272,0,1.72170098696235
"62","Georgia","GEO",27.6666666666667,27.6666666666667,29.8484848484848,0,-2.18181818181818,2.02086049543677,6.832895888014,1.82527111002802
"63","Ghana","GHA",58,58,57.3636363636364,0,0.636363636363633,7.95306388526728,10,7.35713415377117
"64","Guinea","GIN",63.6666666666667,65.3333333333333,66.5454545454545,-1.66666666666666,-2.87878787878788,9.0612777053455,5.8267716535433,9.20311928841233
"65","Gambia","GMB",58,58,58.9090909090909,0,-0.909090909090907,7.95306388526728,8.67016622922135,7.6678445229682
"66","Guinea-Bissau","GNB",NA,NA,NA,NA,NA,NA,NA,NA
"67","Equatorial Guinea","GNQ",61.6666666666667,61.6666666666667,63.8181818181818,0,-2.15151515151516,8.67014341590613,6.8766404199475,8.65480687218228
"68","Greece","GRC",36.6666666666667,41.3333333333333,41.8181818181818,-4.66666666666667,-5.15151515151516,3.78096479791395,2.54593175853018,4.2317533812599
"69","Grenada","GRD",NA,NA,NA,NA,NA,NA,NA,NA
"70","Guatemala","GTM",40.6666666666667,40.6666666666667,41.7272727272727,0,-1.06060606060606,4.5632333767927,8.4514435695538,4.2134763007189
"71","Guyana","GUY",38,38,37.8787878787879,0,0.121212121212118,4.04172099087353,10,3.4397465578165
"72","Honduras","HND",36.3333333333333,36.3333333333333,39.969696969697,0,-3.63636363636363,3.71577574967406,4.7331583552056,3.86011941025953
"73","Croatia","HRV",39,39,38.0909090909091,0,0.909090909090907,4.23728813559322,10,3.48239307907884
"74","Haiti","HTI",56.6666666666667,55,56.969696969697,1.66666666666666,-0.303030303030305,7.69230769230769,9.54505686789151,7.27793347142683
"75","Hungary","HUN",35.6666666666667,35.6666666666667,39.6060606060606,0,-3.93939393939394,3.58539765319426,4.29571303587052,3.78701108809553
"76","Indonesia","IDN",38.3333333333333,39.6666666666667,40.7575757575758,-1.33333333333333,-2.42424242424241,4.10691003911343,6.48293963254594,4.01852077494821
"77","India","IND",36,36,39.4848484848485,0,-3.48484848484848,3.65058670143416,4.95188101487314,3.76264164737419
"78","Ireland","IRL",21,21,21.7878787878788,0,-0.787878787878785,0.717079530638854,8.84514435695539,0.204703302059217
"79","Iran","IRN",77.3333333333333,80.6666666666667,79,-3.33333333333334,-1.66666666666667,10,7.57655293088363,10
"80","Iraq","IRQ",61.3333333333333,66,65.5757575757576,-4.66666666666666,-4.24242424242424,8.60495436766623,3.85826771653543,9.00816376264165
"81","Iceland","ISL",34.6666666666667,33,35.6060606060606,1.66666666666666,-0.939393939393938,3.38983050847458,8.62642169728784,2.98281954429146
"82","Israel","ISR",26.6666666666667,26.6666666666667,30,0,-3.33333333333333,1.82529335071708,5.17060367454068,1.8557329109297
"83","Italy","ITA",21,21,26.3333333333333,0,-5.33333333333333,0.717079530638854,2.28346456692913,1.1185573291093
"84","Jamaica","JAM",35.3333333333333,35.6666666666667,39.8484848484849,-0.333333333333329,-4.51515151515152,3.52020860495437,3.46456692913386,3.8357499695382
"85","Jordan","JOR",37.3333333333333,35.6666666666667,38.6969696969697,1.66666666666667,-1.36363636363636,3.91134289439374,8.01399825021873,3.60424028268551
"86","Japan","JPN",17.3333333333333,17.3333333333333,20.969696969697,0,-3.63636363636364,0,4.7331583552056,0.040209577190204
"87","Kazakhstan","KAZ",48.3333333333333,56.6666666666667,55.9090909090909,-8.33333333333333,-7.57575757575758,6.0625814863103,0,7.06470086511515
"88","Kenya","KEN",53,56.3333333333333,56.4545454545455,-3.33333333333334,-3.45454545454546,6.97522816166884,4.99562554680664,7.17436334836116
"89","Kyrgyzstan","KGZ",45,50,51.9090909090909,-5,-6.90909090909091,5.41069100391134,0.00874890638670145,6.26050932131108
"90","Cambodia","KHM",43,46.3333333333333,44.8181818181818,-3.33333333333334,-1.81818181818181,5.01955671447197,7.35783027121611,4.83489703911295
"91","Kiribati","KIR",NA,NA,NA,NA,NA,NA,NA,NA
"92","Saint Kitts and Nevis","KNA",NA,NA,NA,NA,NA,NA,NA,NA
"93","Korea Republic of","KOR",19,20.6666666666667,23.2727272727273,-1.66666666666667,-4.27272727272727,0.325945241199479,3.81452318460193,0.503228950895577
"94","Kuwait","KWT",18.3333333333333,18.3333333333333,19.3333333333333,0,-1,0.195567144719687,8.53893263342082,0
"95","Lao PDR","LAO",50.6666666666667,47.3333333333333,47.969696969697,3.33333333333333,2.6969696969697,6.51890482398957,10,5.46850249786767
"96","Lebanon","LBN",73.6666666666667,72,72,1.66666666666667,1.66666666666667,10,10,10
"97","Liberia","LBR",68.3333333333333,68.3333333333333,69.4545454545455,0,-1.12121212121212,9.97392438070404,8.36395450568678,9.78798586572438
"98","Libya","LBY",64.3333333333333,67.6666666666667,70.4242424242424,-3.33333333333334,-6.09090909090911,9.19165580182529,1.1898512685914,9.98294139149507
"99","Saint Lucia","LCA",NA,NA,NA,NA,NA,NA,NA,NA
"100","Liechtenstein","LIE",16.3333333333333,16.3333333333333,19.6666666666667,0,-3.33333333333334,0,5.17060367454068,0
"101","Sri Lanka","LKA",43.3333333333333,43.3333333333333,45.1515151515151,0,-1.81818181818181,5.08474576271187,7.35783027121611,4.90191300109662
"102","Lesotho","LSO",49.6666666666667,48,50.3333333333333,1.66666666666666,-0.666666666666671,6.32333767926988,9.02012248468941,5.94370659193372
"103","Lithuania","LTU",23,23,25.9090909090909,0,-2.90909090909091,1.10821382007823,5.7830271216098,1.03326428658462
"104","Luxembourg","LUX",15,20,19.6666666666667,-5,-4.66666666666667,0,3.24584426946631,0
"105","Latvia","LVA",29.6666666666667,33,38,-3.33333333333333,-8.33333333333333,2.41199478487614,0,3.46411599853783
"106","Morocco","MAR",36.6666666666667,37.6666666666667,39.4545454545455,-1,-2.78787878787879,3.78096479791395,5.95800524934383,3.75654928719386
"107","Moldova Republic of","MDA",52.3333333333333,52.6666666666667,55.6363636363636,-0.333333333333329,-3.3030303030303,6.84485006518905,5.2143482064742,7.00986962349214
"108","Madagascar","MDG",55.3333333333333,59.6666666666667,60.0909090909091,-4.33333333333333,-4.75757575757576,7.43155149934811,3.11461067366579,7.90544657000122
"109","Maldives","MDV",NA,NA,NA,NA,NA,NA,NA,NA
"110","Mexico","MEX",29.6666666666667,31.3333333333333,33.3030303030303,-1.66666666666666,-3.63636363636364,2.41199478487614,4.7331583552056,2.51980017058608
"111","Marshall Islands","MHL",NA,NA,NA,NA,NA,NA,NA,NA
"112","North Macedonia","MKD",29,27.3333333333333,33.7272727272727,1.66666666666667,-4.72727272727273,2.28161668839635,3.1583552055993,2.60509321311076
"113","Mali","MLI",46.3333333333333,46.3333333333333,47.3333333333333,0,-1,5.67144719687093,8.53893263342082,5.34056293408066
"114","Malta","MLT",19.3333333333333,26.3333333333333,25.6969696969697,-7,-6.36363636363637,0.391134289439375,0.796150481189844,0.990617765322288
"115","Myanmar","MMR",75.6666666666667,75.6666666666667,66.3333333333333,0,9.33333333333333,10,10,9.16047276715
"116","Montenegro","MNE",51,54.6666666666667,54.5151515151515,-3.66666666666666,-3.51515151515152,6.58409387222947,4.90813648293962,6.78445229681979
"117","Mongolia","MNG",42.6666666666667,42.6666666666667,45.0909090909091,0,-2.42424242424243,4.95436766623207,6.48293963254592,4.88972828073596
"118","Mozambique","MOZ",53.3333333333333,53.3333333333333,55.7575757575758,0,-2.42424242424241,7.04041720990874,6.48293963254594,7.03423906421347
"119","Mauritania","MRT",49.3333333333333,57.6666666666667,56.1515151515151,-8.33333333333333,-6.81818181818181,6.25814863102999,0.13998250218723,7.11343974655782
"120","Mauritius","MUS",23.6666666666667,22,25.1818181818182,1.66666666666667,-1.51515151515152,1.23859191655802,7.79527559055118,0.887047642256611
"121","Malawi","MWI",55,55,58.9393939393939,0,-3.93939393939394,7.36636245110822,4.29571303587052,7.67393688314853
"122","Malaysia","MYS",17.3333333333333,17.3333333333333,20.7878787878788,0,-3.45454545454545,0,4.99562554680665,0.00365541610820053
"123","Namibia","NAM",33,33,34.1818181818182,0,-1.18181818181818,3.0638852672751,8.27646544181978,2.69647861581577
"124","Niger","NER",42,42,44.1818181818182,0,-2.18181818181818,4.82398956975228,6.832895888014,4.70695747532594
"125","Nigeria","NGA",67.3333333333333,72.3333333333333,71.7272727272727,-5,-4.39393939393941,9.77835723598436,3.63954505686787,10
"126","Nicaragua","NIC",46.3333333333333,49.6666666666667,52.3636363636364,-3.33333333333333,-6.03030303030303,5.67144719687093,1.27734033245844,6.35189472401608
"127","Netherlands","NLD",19,22.3333333333333,23.7272727272727,-3.33333333333333,-4.72727272727273,0.325945241199479,3.15835520559929,0.594614353600587
"128","Norway","NOR",15.6666666666667,24,25.3636363636364,-8.33333333333333,-9.6969696969697,0,0,0.923601803338613
"129","Nepal","NPL",45,46.6666666666667,46.969696969697,-1.66666666666666,-1.96969696969697,5.41069100391134,7.13910761154856,5.26745461191666
"130","Nauru","NRU",NA,NA,NA,NA,NA,NA,NA,NA
"131","New Zealand","NZL",17.6666666666667,19,21.9393939393939,-1.33333333333333,-4.27272727272727,0.0651890482398976,3.81452318460193,0.235165102960886
"132","Oman","OMN",34,34,37.4848484848485,0,-3.48484848484848,3.25945241199479,4.95188101487314,3.36054587547216
"133","Pakistan","PAK",62.6666666666667,64.3333333333333,65.969696969697,-1.66666666666666,-3.30303030303029,8.86571056062582,5.21434820647421,9.08736444498598
"134","Panama","PAN",21.3333333333333,21.3333333333333,23.7575757575758,0,-2.42424242424243,0.78226857887875,6.48293963254592,0.600706713780921
"135","Peru","PER",26.3333333333333,26.3333333333333,24.7575757575758,0,1.57575757575758,1.76010430247718,10,0.801754599731936
"136","Philippines","PHL",42.3333333333333,42.3333333333333,46.969696969697,0,-4.63636363636363,4.88917861799218,3.28958880139983,5.26745461191666
"137","Palau","PLW",NA,NA,NA,NA,NA,NA,NA,NA
"138","Papua New Guinea","PNG",51.3333333333333,50.3333333333333,50.8181818181818,1,0.515151515151523,6.64928292046936,10,6.04118435481906
"139","Poland","POL",24.6666666666667,26.3333333333333,30.3939393939394,-1.66666666666666,-5.72727272727273,1.43415906127771,1.71478565179352,1.93493359327403
"140","Korea DPR","PRK",90.6666666666667,87.3333333333333,88.3939393939394,3.33333333333334,2.27272727272728,10,10,10
"141","Portugal","PRT",24.6666666666667,37.3333333333333,35.030303030303,-12.6666666666667,-10.3636363636364,1.43415906127771,0,2.86706470086511
"142","Paraguay","PRY",38.6666666666667,37,42.2121212121212,1.66666666666666,-3.54545454545455,4.17209908735333,4.86439195100612,4.31095406360424
"143","Qatar","QAT",29.3333333333333,29.3333333333333,33.4848484848485,0,-4.15151515151515,2.34680573663625,3.98950131233596,2.55635433166809
"144","Romania","ROU",36,39.3333333333333,43.1818181818182,-3.33333333333334,-7.18181818181819,3.65058670143416,0,4.50590958937492
"145","Russian Federation","RUS",44.6666666666667,44.6666666666667,45.969696969697,0,-1.3030303030303,5.34550195567145,8.10148731408574,5.06640672596564
"146","Rwanda","RWA",47.6666666666667,49.3333333333333,50.5454545454545,-1.66666666666667,-2.87878787878788,5.93220338983051,5.82677165354331,5.98635311319605
"147","Saudi Arabia","SAU",27.6666666666667,27.6666666666667,31.5151515151515,0,-3.84848484848485,2.02086049543677,4.42694663167104,2.16035091994639
"148","Sudan","SDN",75.6666666666667,75.6666666666667,79.030303030303,0,-3.36363636363635,10,5.1268591426072,10
"149","Senegal","SEN",33.6666666666667,33.6666666666667,34.4545454545455,0,-0.787878787878796,3.19426336375489,8.84514435695537,2.75130985743877
"150","Singapore","SGP",6.66666666666667,6.66666666666667,8.33333333333333,0,-1.66666666666667,0,7.57655293088364,0
"151","Solomon Islands","SLB",NA,NA,NA,NA,NA,NA,NA,NA
"152","Sierra Leone","SLE",56.6666666666667,56.6666666666667,58.4848484848485,0,-1.81818181818181,7.69230769230769,7.35783027121611,7.58255148044352
"153","El Salvador","SLV",30.6666666666667,32.3333333333333,34.4545454545455,-1.66666666666667,-3.78787878787879,2.60756192959583,4.51443569553805,2.75130985743877
"154","Somalia","SOM",72,73,72.3636363636364,-1,-0.36363636363636,10,9.4575678040245,10
"155","Serbia","SRB",45.3333333333333,45.3333333333333,47.6060606060606,0,-2.27272727272727,5.47588005215124,6.70166229221348,5.39539417570367
"156","South Sudan","SSD",NA,NA,NA,NA,NA,NA,NA,NA
"157","Sao Tome and Principe","STP",54,50.6666666666667,52.7272727272727,3.33333333333334,1.27272727272727,7.17079530638853,10,6.42500304618009
"158","Suriname","SUR",62.6666666666667,64.3333333333333,67.5151515151515,-1.66666666666666,-4.84848484848485,8.86571056062582,2.98337707786526,9.39807481418301
"159","Slovakia","SVK",25.3333333333333,27,30.2727272727273,-1.66666666666667,-4.93939393939394,1.5645371577575,2.85214348206474,1.9105641525527
"160","Slovenia","SVN",22.3333333333333,22.3333333333333,28.3939393939394,0,-6.06060606060606,0.977835723598435,1.23359580052493,1.532837821372
"161","Sweden","SWE",18.6666666666667,18.6666666666667,19.6363636363636,0,-0.969696969696969,0.260756192959585,8.58267716535433,0
"162","Eswatini","SWZ",48.6666666666667,48.6666666666667,51.3636363636364,0,-2.6969696969697,6.1277705345502,6.08923884514435,6.15084683806507
"163","Seychelles","SYC",41.6666666666667,43.3333333333333,43.4848484848485,-1.66666666666667,-1.81818181818181,4.75880052151239,7.35783027121611,4.56683319117826
"164","Syria","SYR",95.6666666666667,95.6666666666667,95.2121212121212,0,0.454545454545467,10,10,10
"165","Chad","TCD",52.6666666666667,51.3333333333333,52.2121212121212,1.33333333333333,0.454545454545453,6.91003911342895,10,6.32143292311441
"166","Togo","TGO",45.3333333333333,45.3333333333333,48.6666666666667,0,-3.33333333333333,5.47588005215124,5.17060367454069,5.60862678201535
"167","Thailand","THA",27.6666666666667,29,32.2121212121212,-1.33333333333333,-4.54545454545454,2.02086049543677,3.42082239720035,2.30047520409407
"168","Tajikistan","TJK",74,75.6666666666667,76.7272727272727,-1.66666666666667,-2.72727272727273,10,6.04549431321084,10
"169","Turkmenistan","TKM",80.6666666666667,80.6666666666667,83.8181818181818,0,-3.15151515151514,10,5.43307086614175,10
"170","Timor-Leste","TLS",29.3333333333333,29.3333333333333,31,0,-1.66666666666667,2.34680573663625,7.57655293088364,2.05678079688071
"171","Tonga","TON",NA,NA,NA,NA,NA,NA,NA,NA
"172","Trinidad and Tobago","TTO",32.3333333333333,37.3333333333333,39.7575757575758,-5,-7.42424242424242,2.93350717079531,0,3.8174728889972
"173","Tunisia","TUN",54,54,54.9090909090909,0,-0.909090909090907,7.17079530638853,8.67016622922135,6.86365297916413
"174","Turkey","TUR",48.6666666666667,48.6666666666667,48.6666666666667,0,0,6.1277705345502,9.9825021872266,5.60862678201535
"175","Tuvalu","TUV",NA,NA,NA,NA,NA,NA,NA,NA
"176","Tanzania","TZA",48.3333333333333,48.3333333333333,51.5151515151515,0,-3.18181818181819,6.0625814863103,5.38932633420822,6.18130863896674
"177","Uganda","UGA",50.6666666666667,54,57.9393939393939,-3.33333333333334,-7.27272727272727,6.51890482398957,0,7.47288899719751
"178","Ukraine","UKR",64.6666666666667,64.6666666666667,65.1212121212121,0,-0.454545454545453,9.25684485006519,9.32633420822398,8.91677835993664
"179","Uruguay","URY",41.6666666666667,47,50.030303030303,-5.33333333333334,-8.36363636363637,4.75880052151239,0,5.88278299013038
"180","United States of America","USA",26.3333333333333,27.3333333333333,33.2121212121212,-1,-6.87878787878788,1.76010430247718,0.0524934383202051,2.50152309004508
"181","Uzbekistan","UZB",71.3333333333333,71.3333333333333,72.2424242424242,0,-0.909090909090907,10,8.67016622922135,10
"182","Saint Vincent and the Grenadines","VCT",NA,NA,NA,NA,NA,NA,NA,NA
"183","Venezuela","VEN",88.3333333333333,89.3333333333333,88.8787878787879,-1,-0.545454545454547,10,9.19510061242345,10
"184","Viet Nam","VNM",32.3333333333333,32.3333333333333,34.8787878787879,0,-2.54545454545455,2.93350717079531,6.3079615048119,2.83660289996345
"185","Vanuatu","VUT",NA,NA,NA,NA,NA,NA,NA,NA
"186","Samoa","WSM",NA,NA,NA,NA,NA,NA,NA,NA
"187","Yemen","YEM",90.6666666666667,90.6666666666667,90.3636363636364,0,0.303030303030297,10,10,10
"188","South Africa","ZAF",40.3333333333333,42,42.6969696969697,-1.66666666666666,-2.36363636363636,4.4980443285528,6.57042869641295,4.40843182648958
"189","Zambia","ZMB",65.6666666666667,65.6666666666667,65.4242424242424,0,0.242424242424249,9.45241199478488,10,8.97770196173998
"190","Zimbabwe","ZWE",74.6666666666667,86.3333333333333,85.7878787878788,-11.6666666666667,-11.1212121212121,10,0,10
